localizer,group,examples,correct,accuracy
centroid_full_delta,all,720,624,0.866667
centroid_full_delta,retrieval,180,180,1.000000
centroid_full_delta,prompt,180,144,0.800000
centroid_full_delta,generation,180,138,0.766667
centroid_full_delta,no_fault_detected,180,162,0.900000
logistic_full_delta,all,720,648,0.900000
logistic_full_delta,retrieval,180,180,1.000000
logistic_full_delta,prompt,180,144,0.800000
logistic_full_delta,generation,180,144,0.800000
logistic_full_delta,no_fault_detected,180,180,1.000000
no_fault_gated_delta,all,720,216,0.300000
no_fault_gated_delta,retrieval,180,180,1.000000
no_fault_gated_delta,prompt,180,0,0.000000
no_fault_gated_delta,generation,180,36,0.200000
no_fault_gated_delta,no_fault_detected,180,0,0.000000
stage_threshold_delta,all,720,288,0.400000
stage_threshold_delta,retrieval,180,0,0.000000
stage_threshold_delta,prompt,180,162,0.900000
stage_threshold_delta,generation,180,0,0.000000
stage_threshold_delta,no_fault_detected,180,126,0.700000
transparent_global_threshold,all,720,216,0.300000
transparent_global_threshold,retrieval,180,180,1.000000
transparent_global_threshold,prompt,180,0,0.000000
transparent_global_threshold,generation,180,36,0.200000
transparent_global_threshold,no_fault_detected,180,0,0.000000
